IDRSSD,rank,Name,rankName,FDIC Certificate Number,rankFDIC,Zip Code,rankZIP,City,rankCity
24949,110,"BARABOO NATIONAL BANK, THE",67,12788,244,53913,205,BARABOO,23
25357,111,ALL AMERICA BANK,6,20093,375,73128,398,OKLAHOMA CITY,364
25647,112,FIRST SECURE BANK AND TRUST CO.,251,22536,396,60465,283,PALOS HILLS,376
26176,113,"BROADWAY FEDERAL BANK, F.S.B.",82,30306,475,90036,459,LOS ANGELES,258
26242,114,"INTEGRITY FIRST BANK, NATIONAL ASSOCIATION",316,18979,358,72653,387,MOUNTAIN HOME,325
26457,115,LA MONTE COMMUNITY BANK,329,16423,310,65337,309,LA MONTE,233
26765,116,VANTAGE BANK TEXAS,482,3405,70,78216,436,SAN ANTONIO,424
27070,117,TIME FEDERAL SAVINGS BANK,465,29294,453,54451,210,MEDFORD,291
27548,118,BLACKHAWK BANK,72,14078,262,53511,199,BELOIT,33
27614,119,"ANDOVER BANK, THE",20,10663,205,440030519,480,ANDOVER,10
27847,120,DIAMOND BANK,149,1527,36,71958,379,MURFREESBORO,330
28013,121,NORTHFIELD BANK,374,28710,442,10314,33,STATEN ISLAND,442
28152,122,HARVEST BANK,299,11415,217,55353,236,KIMBALL,228
28255,123,"FIRST NATIONAL BANK OF BEEVILLE, THE",226,3095,57,78102,435,BEEVILLE,28
28406,124,BLUE HILLS BANK,74,90160,496,2136,7,HYDE PARK,211
28675,125,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",143,29293,452,54829,223,CUMBERLAND,123
28732,126,PEOPLES BANK & TRUST COMPANY,391,1475,34,37355,118,MANCHESTER,270
29476,127,RIVERBANK,421,31711,484,72455,385,POCAHONTAS,397
29636,128,"CITIZENS BANK OF PHILADELPHIA, THE",111,12204,230,39350,138,PHILADELPHIA,391
29878,129,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,351,30303,474,11378,35,MASPETH,283
30052,130,AMISTAD BANK,18,26658,425,788403621,497,DEL RIO,131
30502,131,NORTHWAY BANK,377,14240,264,3570,12,BERLIN,39
30650,132,LAKE COMMUNITY BANK,330,8193,146,55356,237,LONG LAKE,255
30810,133,DISCOVER BANK,151,5649,108,19950,59,GREENWOOD,178
31134,134,"FIRST NATIONAL BANK OF WAYNESBORO, THE",245,2160,48,30830,92,WAYNESBORO,476
31255,135,CENTRAL BANK,96,17612,339,770415578,493,HOUSTON,207
31657,136,"FIRST STATE BANK OF BEN WHEELER, TEXAS",267,11904,225,75754,424,BEN WHEELER,35
31826,137,POWELL VALLEY NATIONAL BANK,410,6863,131,24263,72,JONESVILLE,220
31835,138,BANK OF ANGUILLA,34,8243,150,38721,130,ANGUILLA,11
32234,139,FIRST NATIONAL BANK AND TRUST COMPANY,219,3639,72,61727,292,CLINTON,104
32766,140,LAKESIDE NATIONAL BANK,333,21693,384,75032,416,ROCKWALL,416
32971,141,SECURITY FEDERAL SAVINGS BANK,434,28894,448,469470000,481,LOGANSPORT,254
33147,142,FARMERS BANK AND TRUST COMPANY,180,1027,20,72315,383,BLYTHEVILLE,46
33259,143,PREMIER BANK,412,21714,386,55109,230,MAPLEWOOD,274
33268,144,"ROSCOE STATE BANK, THE",425,1213,28,79545,442,ROSCOE,418
33370,145,"HOME SAVINGS BANK, FSB",309,31723,485,41016,150,LUDLOW,264
33839,146,PEOPLES STATE BANK OF COLFAX,398,10075,190,61728,293,COLFAX,109
33857,147,FRONTIER BANK,284,15545,291,68118,336,OMAHA,366
34425,148,BANK OF LANCASTER,47,11200,215,22482,67,KILMARNOCK,227
34434,149,MAGNOLIA STATE BANK,344,22081,391,39422,140,BAY SPRINGS,25
34452,150,"FIRST NATIONAL BANK OF PARK FALLS, THE",242,5358,102,54552,215,PARK FALLS,382
34537,151,SEACOAST NATIONAL BANK,430,131,5,34994,110,STUART,446
34555,152,MACON-ATLANTA STATE BANK,343,14695,273,63552,301,MACON,266
34742,153,FIRST WESTERN BANK,276,13083,248,72927,389,BOONEVILLE,48
35057,154,ALLIANT BANK,9,1946,45,65263,308,MADISON,267
35301,155,STATE STREET BANK AND TRUST COMPANY,455,14,1,2111,6,BOSTON,50
35570,156,INVESTORS BANK,318,28892,447,7078,22,SHORT HILLS,432
35646,157,BONDUEL STATE BANK,77,11235,216,54107,209,BONDUEL,47
35879,158,"EAST WISCONSIN SAVINGS BANK, S.A.",157,30313,476,541300000,489,KAUKAUNA,221
36456,159,COMMUNITY FIRST BANK,137,15907,299,69038,356,MAYWOOD,284
36933,160,FIRST STATE BANK,258,19163,363,30833,93,WRENS,496
37051,161,PIGEON FALLS STATE BANK,401,13030,246,54760,222,PIGEON FALLS,392
37341,162,BANK OF ONTARIO,54,21085,381,54651,217,ONTARIO,367
37435,163,UNITED BANK,475,172,6,30295,84,ZEBULON,499
37640,164,GERMAN AMERICAN BANCORP,287,17393,337,47546,182,JASPER,218
37659,165,"FARMERS STATE BANK, ALLEN, OKLAHOMA",191,12758,242,74825,414,ALLEN,2
37949,166,BANK OF RANTOUL,56,11711,223,61866,294,RANTOUL,410
38740,167,OWEN COUNTY STATE BANK,382,13112,250,47460,180,SPENCER,437
39327,168,"CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND",89,5874,114,21811,65,BERLIN,40
39756,169,NBC OKLAHOMA,368,4032,76,73120,397,OKLAHOMA CITY,363
40033,170,RICHTON BANK & TRUST COMPANY,419,11817,224,39476,142,RICHTON,412
40350,171,MURRAY STATE BANK,366,10653,204,68409,340,MURRAY,331
40499,172,HARBORONE BANK,297,59070,495,2301,9,BROCKTON,59
40855,173,EITZEN STATE BANK,159,10980,210,55921,243,CALEDONIA,77
41245,174,FARMERS & MERCHANTS BANK OF ORFORDVILLE,172,15173,281,53576,203,ORFORDVILLE,369
41553,175,FIRST STATE BANK,259,12283,232,73005,390,ANADARKO,9
41629,176,PIONEER BANK,404,6913,132,22851,68,STANLEY,441
41825,177,MIDDLETOWN VALLEY BANK,360,14017,261,21769,62,MIDDLETOWN,303
41937,178,FARMERS STATE BANK OF DANFORTH,190,10802,206,60930,289,DANFORTH,126
41955,179,BANK OF NEWMAN GROVE,53,5447,107,68758,348,NEWMAN GROVE,348
42037,180,PEOPLES EXCHANGE BANK OF MONROE COUNTY,396,70,2,36460,113,MONROEVILLE,312
42354,181,"COMMERCIAL NATIONAL BANK OF BRADY, THE",133,3110,62,76825,432,BRADY,52
42372,182,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,209,30315,477,28092,80,LINCOLNTON,248
42420,183,FIRST COMMONWEALTH BANK,200,7468,137,15701,48,INDIANA,213
42448,184,FIRST NATIONAL BANK,216,3887,74,72450,384,PARAGOULD,378
42457,185,COMMERCIAL BANK OF NELSON,132,12246,231,68961,355,NELSON,333
43052,186,SECURITY STATE BANK,435,9036,161,54847,224,IRON RIVER,214
43351,187,PEOPLES STATE BANK,397,17685,341,66502,314,MANHATTAN,271
43856,188,"MINERS NATIONAL BANK OF EVELETH, THE",362,5141,94,55734,240,EVELETH,151
43959,189,BRIDGE CITY STATE BANK,79,18155,353,776112435,495,BRIDGE CITY,55
44040,190,"FIRST NATIONAL BANK OF MONTEREY, THE",238,4364,83,46960,174,MONTEREY,313
44433,191,"INTERCREDIT BANK, NATIONAL ASSOCIATION",317,25258,414,33131,105,MIAMI,300
44741,192,CITIZENS BANK,103,9647,176,46158,171,MOORESVILLE,317
44750,193,CITIZENS BANK OF NEWBURG,110,16126,303,65401,310,ROLLA,417
44929,194,"FIRST NATIONAL BANK OF MCCONNELSVILLE, THE",236,6637,127,43756,156,MCCONNELSVILLE,287
45038,195,STATE BANK OF DAVIS,448,5740,110,61019,290,DAVIS,128
45047,196,"FIRST NATIONAL BANK AT PARIS, THE",221,14534,270,72855,388,PARIS,379
45056,197,PLATTE VALLEY BANK,407,9818,179,68649,345,NORTH BEND,355
45430,198,JOHNSON COUNTY BANK,324,22070,390,37683,120,MOUNTAIN CITY,324
45458,199,VINTAGE BANK KANSAS,483,17927,345,67074,321,LEON,244
45551,200,BANK MIDWEST,33,5170,97,51360,194,SPIRIT LAKE,438
45560,201,JEFFERSON BANK,322,16470,314,78217,437,SAN ANTONIO,425
45775,202,IRON WORKERS SAVINGS BANK,319,28908,450,19014,54,ASTON,15
46053,203,"STATE BANK OF FARIBAULT, THE",449,1610,39,55021,228,FARIBAULT,153
46941,204,FARMERS BANK AND TRUST COMPANY,181,2765,52,42445,152,PRINCETON,402
47247,205,"DART BANK, THE",145,5033,92,488540040,483,MASON,281
47256,206,COMMUNITY FINANCIAL BANK,136,27053,431,54556,216,PRENTICE,401
47452,207,FIRST NATIONAL BANK OF BENTON,228,25065,413,71006,371,BENTON,37
47500,208,CLAREMONT SAVINGS BANK,122,18038,350,3743,14,CLAREMONT,98
48057,209,PRAIRIE BANK OF KANSAS,411,4775,87,67578,328,STAFFORD,440
48150,210,FRANKLIN STATE BANK,281,16778,324,55333,232,FRANKLIN,158
48374,211,FIRST FINANCIAL BANK,213,28905,449,71730,376,EL DORADO,143
48440,212,CLEVELAND STATE BANK,124,9517,175,530150158,486,CLEVELAND,103
49054,213,COMMERCE BANK,129,10212,199,56035,250,GENEVA,164
49148,214,RUSHVILLE STATE BANK,427,9265,167,62681,297,RUSHVILLE,420
49241,215,"RELYANCE BANK, NATIONAL ASSOCIATION",417,19371,366,71601,372,PINE BLUFF,393
49344,216,MASON STATE BANK,350,1001,18,48854,185,MASON,280
49652,217,FIRST BANK,197,16473,315,67579,329,STERLING,444
49858,218,BANK OF SOUTH TEXAS,57,26727,427,78504,438,MCALLEN,286
49951,219,"FIRST SECURITY BANK, THE",253,4041,77,73932,405,BEAVER,26
50144,220,STATE BANK OF MEDORA,452,14561,271,47260,176,MEDORA,292
50461,221,CALIFORNIA PACIFIC BANK,88,23242,404,94104,462,SAN FRANCISCO,426
50872,222,WINCHESTER FEDERAL BANK,494,29313,454,40391,149,WINCHESTER,491
50957,223,ALTERRA BANK,10,1149,22,66211,312,LEAWOOD,243
51253,224,APEX BANK,22,9176,165,38320,123,CAMDEN,78
51356,225,LATIMER STATE BANK,336,22839,401,74578,413,WILBURTON,487
51459,226,CENTERA BANK,95,16436,311,67877,332,SUBLETTE,447
51842,227,FARMERS & MERCHANTS UNION BANK,175,14445,267,53925,206,COLUMBUS,112
52719,228,"DEPOSITORY TRUST COMPANY, THE",148,90544,499,10041,31,NEW YORK,344
52951,229,"SECURITY STATE BANK OF WEWOKA, OKLAHOMA",440,8980,159,74884,415,WEWOKA,483
53033,230,"SABADELL UNITED BANK, NATIONAL ASSOCIATION",428,21837,387,33131,104,MIAMI,299
53051,231,"BUCKHOLTS STATE BANK, THE",86,11916,226,76518,429,BUCKHOLTS,66
53752,232,FIRST STATE BANK,260,16182,304,75948,427,HEMPHILL,192
54049,233,UNITED COMMUNITY BANK,476,11603,221,53955,207,POYNETTE,400
54058,234,BANK OF TESCOTT,58,1868,44,67484,325,TESCOTT,452
54441,235,AMERICAN BANK & TRUST WISCONSIN,13,6183,123,538070827,488,CUBA CITY,121
54656,236,CITIZENS STATE BANK,116,12501,235,758319705,491,BUFFALO,69
54973,237,"AMERICAN SAVINGS BANK, F.S.B.",16,32526,490,96813,465,HONOLULU,205
55336,238,METAIRIE BANK & TRUST COMPANY,357,16539,316,70001,360,METAIRIE,298
55635,239,CITIZENS SAVINGS BANK AND TRUST COMPANY,115,10319,201,37208,117,NASHVILLE,332
55653,240,FIDELITY STATE BANK AND TRUST COMPANY,193,1150,23,66603,315,TOPEKA,457
55970,241,EVERGREEN FEDERAL SAVINGS AND LOAN ASSOCIATION,166,28914,451,97526,468,GRANTS PASS,173
56258,242,"CITIZENS BANK & TRUST CO., HUTCHINSON, MINN.",107,10218,200,55350,235,HUTCHINSON,210
56351,243,CITIZENS NATIONAL BANK,112,3250,64,75652,423,HENDERSON,195
56548,244,DMB COMMUNITY BANK,152,14769,274,53532,201,DE FOREST,129
56557,245,COBIZ BANK,127,22683,399,80202,443,DENVER,133
56717,246,"DIME BANK, THE",150,9888,182,18431,53,HONESDALE,204
57040,247,FIRST NATIONAL BANK AT DARLINGTON,220,14468,268,53530,200,DARLINGTON,127
57228,248,NEW WINDSOR STATE BANK,370,5866,113,21776,63,NEW WINDSOR,338
57451,249,DAIRY STATE BANK,144,17162,333,54868,225,RICE LAKE,411
58177,250,RIPLEY FEDERAL SAVINGS BANK,420,29323,455,45167,164,RIPLEY,413
58207,251,GRANITE BANK,290,6212,124,3576,13,COLEBROOK,108
58225,252,"FARMERS BANK AND SAVINGS COMPANY, THE",179,769,13,45769,167,POMEROY,398
58243,253,JOHNSON BANK,323,20296,379,53403,198,RACINE,407
58355,254,VANTAGE BANK,481,9733,178,56553,264,KENT,225
58551,255,SECURITY STATE BANK,436,421,8,73628,401,CHEYENNE,89
58636,256,CENTURY BANK,97,11448,218,39452,141,LUCEDALE,263
58757,257,KENSINGTON BANK,327,1409,33,56343,261,KENSINGTON,224
58971,258,WASHINGTON TRUST BANK,487,1281,29,99201,472,SPOKANE,439
59316,259,WAYNE BANK,489,698,12,18431,52,HONESDALE,203
59352,260,CITIZENS NATIONAL BANK,113,3127,63,76520,430,CAMERON,79
59370,261,FIRST SHORE FEDERAL SAVINGS AND LOAN ASSOCIATION,254,30680,478,21801,64,SALISBURY,423
59754,262,"BANK OF WYANDOTTE, THE",62,2317,50,74370,410,WYANDOTTE,497
60143,263,COMERICA BANK,128,983,17,75201,417,DALLAS,125
60330,264,PEOPLES BANK OF ALABAMA,393,22537,397,35055,111,CULLMAN,122
60545,265,"HOME TRUST & SAVINGS BANK, THE",310,963,16,50461,193,OSAGE,370
60554,266,FIRST STATE BANK MINNESOTA,265,10162,192,55951,247,LE ROY,242
60648,267,FIRST NATIONAL BANK,217,4324,82,46120,170,CLOVERDALE,106
61122,268,FIRST UNITED BANK & TRUST,275,4857,89,21550,61,OAKLAND,358
61355,269,CORTRUST BANK NATIONAL ASSOCIATION,142,6063,119,57301,277,MITCHELL,308
61476,270,PILGRIM BANK,402,26590,421,2025,4,COHASSET,107
61757,271,AMERICAN HERITAGE NATIONAL BANK,14,8843,156,56347,262,LONG PRAIRIE,256
61832,272,"FIRST NATIONAL BANK OF MOUNT DORA, THE",240,3579,71,32757,103,MOUNT DORA,319
61953,273,"FIRST NATIONAL BANK OF COWETA, THE",232,4071,78,74429,411,COWETA,120
62044,274,SEBREE DEPOSIT BANK,431,21342,382,42455,153,SEBREE,430
62110,275,"ROCKEFELLER TRUST COMPANY, NATIONAL ASSOCIATION",422,26622,422,10020,30,NEW YORK,343
62147,276,COMMUNITY FIRST BANK,138,12512,237,54473,212,ROSHOLT,419
62772,277,FIRST ADVANTAGE BANK,195,30698,479,37040,114,CLARKSVILLE,101
63050,278,"DOLORES STATE BANK, THE",154,17959,346,81323,447,DOLORES,135
63069,279,CITY NATIONAL BANK,121,17281,336,90071,461,LOS ANGELES,259
63201,280,CAYUGA LAKE NATIONAL BANK,92,6954,133,13160,40,UNION SPRINGS,463
63573,281,WALPOLE CO-OPERATIVE BANK,486,26487,420,2081,5,WALPOLE,469
63733,282,CITIZENS BANK,104,1711,41,37083,115,LAFAYETTE,235
63742,283,HOMETOWN BANK,311,12781,243,54935,227,FOND DU LAC,155
63751,284,TOWANDA STATE BANK,467,15009,277,67144,322,TOWANDA,459
64150,285,WYOMING BANK & TRUST,498,8718,154,82009,449,CHEYENNE,90
64543,286,BLOOMBANK,73,15714,296,47424,178,BLOOMFIELD,44
64552,287,BANK2,63,11521,219,73108,394,OKLAHOMA CITY,360
64730,288,FARMERS & MERCHANTS BANK,171,9069,163,31024,95,EATONTON,140
65205,289,"TORRINGTON SAVINGS BANK, THE",466,16636,321,6790,21,TORRINGTON,458
65241,290,CLARKE COUNTY STATE BANK,123,14980,276,50213,189,OSCEOLA,371
65513,291,DELTA NATIONAL BANK AND TRUST COMPANY,147,26633,423,10019,29,NEW YORK,342
65559,292,PIONEER BANK & TRUST,405,15562,292,57717,280,BELLE FOURCHE,30
65746,293,CITIZENS UNION BANK OF SHELBYVILLE,119,5840,112,40065,146,SHELBYVILLE,431
65858,294,EMPRISE BANK,164,4789,88,67202,324,WICHITA,486
66154,295,DECATUR COUNTY BANK,146,6101,122,38329,124,DECATURVILLE,130
66275,296,FIRST SOUTHERN BANK,256,29332,457,35630,112,FLORENCE,154
66677,297,CINCINNATI FEDERAL,102,28346,433,45247,166,CINCINNATI,97
67142,298,PEOPLES TRUST AND SAVINGS BANK,399,13113,251,47601,183,BOONVILLE,49
67151,299,KIRKPATRICK BANK,328,20156,376,73013,391,EDMOND,142
67209,300,NEWBURYPORT FIVE CENTS SAVINGS BANK,371,90251,497,1950,3,NEWBURYPORT,346
67254,301,YOUNG AMERICANS BANK,499,27010,430,80206,444,DENVER,134
67656,302,FIRST SAVINGS BANK,250,32629,492,57004,269,BERESFORD,38
67870,303,THOMAS COUNTY FEDERAL SAVINGS & LOAN ASSOCIATION,464,29331,456,317925506,476,THOMASVILLE,453
68448,304,UNION NATIONAL BANK & TRUST COMPANY,474,5325,100,54656,218,SPARTA,436
68671,305,"GRAND BANK FOR SAVINGS, F.S.B.",289,31864,486,39402,139,HATTIESBURG,188
68756,306,LIBERTY NATIONAL BANK,339,11522,220,73501,399,LAWTON,241
68831,307,BANK OF FRANKLIN,43,10594,203,39653,144,MEADVILLE,290
68840,308,UNION BANK & TRUST COMPANY,471,15177,282,535361122,487,EVANSVILLE,150
68859,309,"FIRST NATIONAL BANK OF DURANGO, THE",233,3014,54,81301,446,DURANGO,138
69333,310,"CITIZENS NATIONAL BANK OF MERIDIAN, THE",114,4993,91,39301,136,MERIDIAN,295
69678,311,BAKER BOYER NATIONAL BANK,26,2987,53,99362,473,WALLA WALLA,467
70058,312,"FARMERS & MERCHANTS BANK, THE",173,1480,35,38330,125,DYER,139
70218,313,UNITED ORIENT BANK,479,23373,405,10013,26,NEW YORK,339
70414,314,"NORTHUMBERLAND NATIONAL BANK, THE",375,7666,139,17857,51,NORTHUMBERLAND,356
70638,315,PEOPLES BANK,389,9366,170,39114,135,MENDENHALL,294
